index,series_name,network,season,title,imdb,engagement,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
486,Warner Home Video,Warner Home Video,Special,Scooby-Doo! and the Spooky Scarecrow,7.3,403.0,2013-09-10,23,tv series,Cornfield Clem,Male,Possessed Object,Scarecrow,Scarecrow,False,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Rural,United States,9,False,True,Abner,Male,1,Theft,you meddling kids,spooky ol' dog,False,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
488,Warner Home Video,Warner Home Video,Movie,Scooby-Doo! Wrestlemania Mystery,6.3,2825.0,2014-03-25,84,Movie,Ghost Bear,Male,Ghost,Bear,Bear,False,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Forest,United States,9,False,True,Cookie,Male,1,Competition,you meddling kids,giant crazy dog,True,0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
489,Warner Home Video,Warner Home Video,Special,Scooby-Doo! Ghastly Goals!,6.6,216.0,2014-05-13,22,tv series,Eshu,Male,Animal,Humanoid,Beast,False,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,Urban,Brazil,5,False,True,Reynaldo,Male,1,Theft,you meddling kids,soccer stinking dog,False,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
492,Warner Home Video,Warner Home Video,Special,Scooby-Doo! and the Beach Beastie,7.1,188.0,2015-05-05,22,tv series,Sea Monster,Male,Possessed Object,Elemental,Water,False,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,Coast,Florida,4,False,True,Grafton Brownstone,Male,1,Theft,that guy,net,False,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Mindy Cohn,Matthew Lillard,Frank Welker
501,"Be Cool, Scooby-Doo!",Cartoon Network,1,Party Like It's 1899,8.2,88.0,2015-10-19,22,tv series,Headless Count,Male,Undead,Headless,Human,False,1,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Rural,United States,5,False,True,Bradwick Haverall,Male,1,Theft,"my, dear sweet meddling Daphnie",your vile friends,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
514,Lego,Warner Home Video,Movie,LEGO Scooby-Doo! Haunted Hollywood,5.9,1144.0,2016-03-10,74,Movie,"Headless Horseman,Mummy,Zombie","male,male,male","Undead,Undead,Undead","Headless,Mummy,Zombie","Human,Human,Human",False,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,Urban,California,5,False,True,"Atticus Fink,Boris Carnac Jr.","Male,Male",2,Competition,you,mangy mutt,False,several,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
529,"Be Cool, Scooby-Doo!",Boomerang,2,Worst in Show,7.1,38.0,2017-11-17,22,tv series,Houndbeast,Male,Animal,Beast,Hound,False,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Urban,New York,4,False,True,Estelle Brady,Female,1,Competition,I gotta say that very impressive song and dance routine well done,plus the meddling stuff,False,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
558,Scooby-Doo and Guess Who?,Boomerang,1,Revenge of the Swamp Monster,7.0,126.0,2019-06-27,22,tv series,Swamp Monster,Male,Animal,Humanoid,Swamp-Monster,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Swamp,Florida,5,False,True,Caddy,Male,1,Competition,meddling basketball leggendand assist king and bowling aficionado Christ Paul,"caddy legend, Shaggy Rodgers",False,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
563,Scooby-Doo and Guess Who?,Boomerang,1,Ollie Ollie In-Come Free!,7.3,84.0,2019-07-25,23,tv series,Cat Mummy,Male,Undead,Mummy,Cat,False,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Urban,England,3,False,True,Antique Dealer,Male,1,Theft,you meddling kids,comedy legend Ricky Gervais,True,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
564,Scooby-Doo and Guess Who?,Boomerang,1,The Scooby of a Thousand Faces!,8.1,74.0,2019-08-01,22,tv series,Minotaur,Male,Mythical,Minotaur,Minotaur,False,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Rural,Greece,2,False,True,Curator,Male,1,Treasure,you meddling kids,Wonder Woman,False,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
565,Scooby-Doo and Guess Who?,Boomerang,1,The Cursed Cabinet of Professor Madds Markson,8.3,70.0,2019-08-08,22,tv series,"Ghost of Madds Markson,Madds Markson Monster","male,male","Undead,Animal","Ghost,Mutant","Human,Bunny",False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Urban,Nevada,3,True,False,Teller,Male,1,Entertainment,you meddling kids,Penn being so hard to fool,False,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
566,Scooby-Doo and Guess Who?,Boomerang,1,When Urkel-Bots Go Bad!,6.5,74.0,2019-08-15,22,tv series,Technomancer,Male,Magician,Technomancer,Human,False,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,Urban,Illinois,4,False,True,Janitor,Female,1,Natural Resource,you meddling kids,super-nerd Steven Quincy Urkel,False,several,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
567,Scooby-Doo and Guess Who?,Boomerang,1,The Fastest Food Fiend!,7.5,52.0,2019-08-22,23,tv series,Spectral Speedster,Male,Ghost,Humanoid,Monster,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Rural,United States,3,False,True,Bill Tally,Male,1,Competition,you meddling kids,comedy legend Jim Gaffigan,True,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
568,Scooby-Doo and Guess Who?,Boomerang,1,Attack of the Weird Al-Osaurus!,7.5,61.0,2019-08-29,23,tv series,"Dinosaur,Dinosaur","male,male","Animal,Animal","Allosaurus,Ceratosarus","Dinosaur,Dinosaur",False,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Forest,United States,4,False,True,"Pete,Pete","Male,Male",2,Natural Resource,"you meddling kids, eh",musical styles of Weird Al Yanovic,False,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
569,Scooby-Doo and Guess Who?,Boomerang,1,"Now You Sia, Now You Don't!",7.4,59.0,2019-09-05,22,tv series,Sia Doppelganger,Female,Disguised,Sia,Human,False,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,Urban,California,5,False,True,Sia's Trainer,Female,1,Theft,"you meddling kids, eh",famous sing songwriter Sia,False,0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
571,Scooby-Doo and Guess Who?,Boomerang,1,"What a Night, for a Dark Knight",8.7,84.0,2019-09-19,22,tv series,Man-Bat,Male,Animal,Humanoid,Bat,False,1,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Urban,United States,3,True,True,Joker,Male,1,Theft,you meddling kids,"and your talking dog, oh and Batman of course",True,3,1.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,True,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
574,Scooby-Doo and Guess Who?,Boomerang,1,The Nightmare Ghost of Psychic U!,8.1,38.0,2020-07-02,23,tv series,Nightmare Ghost,Male,Ghost,Nightmare,Human,False,1,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Snow,Pennsylvania,2,False,True,Cafeteria Lady,Female,1,Inheritance,you meddling kids,Whoopi Goldberg,True,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
575,Scooby-Doo and Guess Who?,Boomerang,1,"The Sword, the Fox and the Scooby-Doo!",8.8,35.0,2020-07-02,23,tv series,Fox Monster,Male,Animal,Giant,Fox,False,1,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Rural,Japan,3,False,True,Coach Roachner,Male,1,Theft,you meddling kids,famous actor alumnus Mark Hamill,True,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
576,Scooby-Doo and Guess Who?,Boomerang,1,One Minuite Mysteries!,7.9,36.0,2020-07-02,23,tv series,"Miner Forty-Niner,Ghost of Captain Cutler,Spooky Space Kook,Snow Ghost,Clown,Ghost of Redbeard,Back Knight,Witch,Witch Doctor,Phantom,Creeper,Giant Teddy Bear","male,male,male,male,male,male,male,female,male,male,male,male","Ancient,Ghost,Extraterrestrial,Animal,Disguised,Ghost,Possessed Object,Magician,Magician,Ghost,Undead,Possessed Object,","Miner,Suit,Phantom,Ghost,Clown,Pirate,Suit,Witch,Shaman,Phantom,Zombie,Giant","Human,Human,Alien,Snow-Monster,Human,Human,Object,Human,Human,Human,Human,Teddy Bear",False,12,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,Rural,United States,1,False,True,"Hank,Captain Cutler,Henry Bascomb,Mr. Greenway,C.L. Magnus,Mr.Wickles,Simone,Buck Masters,Bluestone the Great,Mr. Carswell,Trickster","Male,Male,Male,Male,Male,Male,Female,Male,Male,Male,Male",11,Competition,you meddling kids,"and famour Justice Leaguer and superhero speedster, The Flash",True,2 boxes,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
578,Scooby-Doo and Guess Who?,Boomerang,1,The New York Underground!,7.8,27.0,2020-07-02,22,tv series,Gator Man Monster,Male,Animal,Humanoid,Alligator,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Urban,New York,4,False,True,Poetry Slam Promoter,Male,1,Treasure,you meddling kids,"and famous singer/award-winning, multi-platinum, alternate pop maverick, Halsey!",True,0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
581,Scooby-Doo and Guess Who?,Boomerang,1,Dance Matron of Mayhem,7.6,22.0,2020-07-02,22,tv series,Ghost of Madame Zobrinsky,Female,Ghost,Ghost,Human,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Urban,Pennsylvania,2,True,False,Madame Zobrinsky,Female,1,Competition,the hard work and dedication of Maddie Ziegler,you meddling kids too,False,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
582,Scooby-Doo and Guess Who?,Boomerang,1,The Wedding Witch of Wainsly Hall!,8.6,19.0,2020-07-02,22,tv series,Wedding Witch of Wainsly Hall,Female,Magician,Witch,Human,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Swamp,United States,3,False,True,Food Truck Chef Lady,Female,1,Theft,you meddling kids,"famous comedian, Jeff Foxworth",False,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
584,Scooby-Doo and Guess Who?,Boomerang,1,I Put a Hex on You!,8.4,25.0,2020-07-02,22,tv series,Ghost of Ester Moonkiller,Female,Ghost,Ghost,Human,False,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Urban,Ohio,3,False,True,Xander,Female,1,Competition,you meddling kids who like an idiot I invited here,Hex Girls,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,True,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
586,Scooby-Doo and Guess Who?,Boomerang,1,Space Station Scooby,8.2,24.0,2020-07-02,22,tv series,Tardigrade Monster,Male,Animal,Giant,Tardigrade,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,Space,Space,4,False,True,"Jacques Pierre,Pierre Jacques","Male,Male",2,Theft,you meddling kids,science know-it-alls Neil deGrasse Tyson and Bill Nye,False,several,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
